Zone;Cluster;OLT (AMS);Observations
AGBALEPEDO;AGBALEPEDO 5;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 6;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 7;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 8;AGBALEPEDO-FX16;
AGBALEPEDO;AGBALEPEDO 9;AGBALEPEDO-FX16;
AGBELOUVE;AGBELOUVE 1;AGBELOUVE-FX4;
AGODEKA;AGODEKA 1;AGODEKE-FX8;
AGODEKA;AGODEKA 10;AGODEKE-FX8;
AGODEKA;AGODEKA 11;AGODEKE-FX8;
AGODEKA;AGODEKA 2;AGODEKE-FX8;
AGODEKA;AGODEKA 3;AGODEKE-FX8;
AGODEKA;AGODEKA 4;AGODEKE-FX8;
AGODEKA;AGODEKA 5;AGODEKE-FX8;
AGODEKA;AGODEKA 6;AGODEKE-FX8;
AGODEKA;AGODEKA 7;AGODEKE-FX8;
AGODEKA;AGODEKA 8;AGODEKE-FX8;
AGODEKA;AGODEKA 9;AGODEKE-FX8;
AGOE;AGOE 0;CACN-FX4;
AGOU GARE;AGOU GARE 1;AGOU_GARE-FX4;
AGOU GARE;AGOU GARE 2;AGOU_GARE-FX4;
AMADA2;AMADA2 1;AMADAHOME2-FX8;
AMADA2;AMADA2 2;AMADAHOME2-FX8;
AMADA2;AMADA2 4;AMADAHOME2-FX8;
AMADA2;AMADA2 5;AMADAHOME2-FX8;
AMADA2;AMADA2 6;AMADAHOME2-FX8;
AMADA2;AMADA2 7;AMADAHOME2-FX8;
AMADAHOME;AMADAHOME 0;AVEDJI1;Extension sur AVEDJI2
AMADAHOME;AMADAHOME 1;AVEDJI1-FX4;
AMADAHOME;AMADAHOME 2;AVEDJI1-FX4;
AMADAHOME;AMADAHOME 3;AVEDJI1-FX4;
AMADAHOME;AMADAHOME 4;AVEDJI1-FX4;
AMADAHOME;AMADAHOME 5;AVEDJI1-FX4;
ANEHO;ANEHO 1;ANEHO2-7362;
ANEHO;ANEHO 10;ANEHO-PEAGE-2;
ANEHO;ANEHO 2;ANEHO-PEAGE-1;
ANEHO;ANEHO 3;ANEHO-PEAGE-2;
ANEHO;ANEHO 4;ANEHO3-7362-1;
ANEHO;ANEHO 5;ANEHO3-7362-2;
ANEHO;ANEHO 6;ANEHO1_RE-FX4;
ANEHO;ANEHO 7;ANEHO1_RE-FX4;
ANEHO;ANEHO 8;ANEHO1_RE-FX4;
