BASE;OLT;RESPONSABLE DE BASE;OneField.Zone;OneField.Cluster;OneField.OLT (AMS);OneField.Observations
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 2;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 3;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 4;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 5;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 6;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 7;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 8;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZOSSIME-FX8;HOUNAKEY;ZOSSIME;ZOSSIME 9;ZOSSIME-FX8;
BASE LEGBASSITO 1;ZONGO;HOUNAKEY;ZONGO2;ZONGO2 7;ZONGO;
BASE LEGBASSITO 1;ZONGO-FX4;HOUNAKEY;ZONGO2;ZONGO2 1;ZONGO-FX4;
BASE LEGBASSITO 1;ZONGO-FX4;HOUNAKEY;ZONGO2;ZONGO2 2;ZONGO-FX4;
BASE LEGBASSITO 1;ZONGO-FX4;HOUNAKEY;ZONGO2;ZONGO2 3;ZONGO-FX4;
BASE LEGBASSITO 1;ZONGO-FX4;HOUNAKEY;ZONGO2;ZONGO2 4;ZONGO-FX4;
BASE LEGBASSITO 1;ZONGO-FX4;HOUNAKEY;ZONGO2;ZONGO2 5;ZONGO-FX4;
BASE LEGBASSITO 1;ZONGO-FX4;HOUNAKEY;ZONGO2;ZONGO2 6;ZONGO-FX4;
;;;ZONE FH;ONE-FIELD-FH;;Voir FH
BASE LEGBASSITO 1;ZANG_PEAGE-FX4;HOUNAKEY;ZANGUERAPEAGE;ZANGUERAPEAGE 1;ZANG_PEAGE-FX4;
BASE LEGBASSITO 1;ZANG_PEAGE-FX4;HOUNAKEY;ZANGUERAPEAGE;ZANGUERAPEAGE 2;ZANG_PEAGE-FX4;
BASE LEGBASSITO 1;ZANG_PEAGE-FX4;HOUNAKEY;ZANGUERAPEAGE;ZANGUERAPEAGE 3;ZANG_PEAGE-FX4;
BASE LEGBASSITO 1;ZANG_PEAGE-FX4;HOUNAKEY;ZANGUERAPEAGE;ZANGUERAPEAGE 4;ZANG_PEAGE-FX4;
BASE LEGBASSITO 1;ZANG_PEAGE-FX4;HOUNAKEY;ZANGUERAPEAGE;ZANGUERAPEAGE 5;ZANG_PEAGE-FX4;
BASE LEGBASSITO 1;ZANG_PEAGE-FX4;HOUNAKEY;ZANGUERAPEAGE;ZANGUERAPEAGE 6;ZANG_PEAGE-FX4;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 12;KLEME-FX8;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 13;KLEME-FX8;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 14;KLEME-FX8;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 15;KLEME-FX8;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 16;KLEME-FX8;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 17;KLEME-FX8;
ADIDOGOME;KLEME-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 18;KLEME-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 1;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 10;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 11;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 2;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 3;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 4;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 5;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 6;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 7;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 8;ZANGUERA2-FX8;
ADIDOGOME;ZANGUERA2-FX8;DOSSAVI;ZANGUERA2;ZANGUERA2 9;ZANGUERA2-FX8;
;;;ZANGUERA2;ONE-FIELD;;Voir One Field
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 1;YOKOE-FX8;
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 2;YOKOE-FX8;
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 3;YOKOE-FX8;
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 4;YOKOE-FX8;
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 5;YOKOE-FX8;
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 6;YOKOE-FX8;
ADIDOGOME;YOKOE-FX8;DOSSAVI;YOKOE;YOKOE 7;YOKOE-FX8;
;;;VOGAN;VOGAN 1;VOGAN-FX4;
;;;VOGAN;VOGAN 2;VOGAN-FX4;
;;;VOGAN;VOGAN 3;VOGAN-FX4;
;;;VOGAN;VOGAN 4;VOGAN-FX4;
BASE RP;DGTG;ABAKTA;UTB;UTB 0;DGTG;Une partie sur DGTG_2 (A basculer sur DGTG-FX16)
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 10;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 11;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 12;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 13;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 14;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 15;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 16;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 17;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 18;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 19;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 20;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 21;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 22;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 23;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 24;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 8;DGTG-FX16;
BASE RP;DGTG-FX16;ABAKTA;UTB;UTB 9;DGTG-FX16;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 1;KODJOVIAKOPE-FX8;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 2;KODJOVIAKOPE-FX8;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 3;KODJOVIAKOPE-FX8;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 4;KODJOVIAKOPE-FX8;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 5;KODJOVIAKOPE-FX8;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 6;KODJOVIAKOPE-FX8;
BASE RP;KODJOVIAKOPE-FX8;ABAKTA;UTB;UTB 7;KODJOVIAKOPE-FX8;
;;;TSEVIE;TSEVIE 1;TSEVIE_WUGBA-FX4;Extension du cluster 1B aussi
;;;TSEVIE;TSEVIE 2;TSEVIE_WUGBA-FX4;
;;;TSEVIE;TSEVIE 3;TSEVIE_WUGBA-FX4;
;;;TSEVIE;TSEVIE 4;TSEVIE_WUGBA-FX4;
;;;TSEVIE;TSEVIE 8;TSEVIE_WUGBA-FX4;
;;;TSEVIE;TSEVIE 5;TSEVIE1-FX4;A basculer sur TSEVIE1-FX8
;;;TSEVIE;TSEVIE 6;TSEVIE1-FX4;A basculer sur TSEVIE1-FX8
;;;TSEVIE;TSEVIE 7;TSEVIE1-FX4;A basculer sur TSEVIE1-FX8
;;;TSEVIE;TSEVIE 10;TSEVIE1-FX8;
;;;TSEVIE;TSEVIE 9;TSEVIE1-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 1;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 10;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 11;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 2;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 3;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 4;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 5;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 6;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 7;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 8;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI2-FX8;ATSOU;TOTSI2;TOTSI2 9;TOTSI2-FX8;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 1;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 10;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 11;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 12;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 13;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 14;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 15;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 16;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 17;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 2;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 3;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 4;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 5;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 6;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 7;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 8;TOTSI1-FX16;
BASE CACAVELLI ;TOTSI1-FX16;ATSOU;TOTSI1;TOTSI1 9;TOTSI1-FX16;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 1;TELESSOU-FX8;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 2;TELESSOU-FX8;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 3;TELESSOU-FX8;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 4;TELESSOU-FX8;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 5;TELESSOU-FX8;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 6;TELESSOU-FX8;
BASE CACAVELLI ;TELESSOU-FX8;ATSOU;TELESSOU;TELESSOU 7;TELESSOU-FX8;
;;;TCHAMBA;TCHAMBA 1;TCHAMBA-FX4;
;;;TCHAMBA;TCHAMBA 2;TCHAMBA-FX4;
;;;TCHAMBA;TCHAMBA 3;TCHAMBA-FX4;
;;;TCHAMBA;ONE-FIELD;;Voir One Field
;;;TABLIGBO;TABLIGBO 1;TABLIGBO1-FX4;
;;;TABLIGBO;TABLIGBO 2;TABLIGBO1-FX4;
;;;TABLIGBO;TABLIGBO 3;TABLIGBO1-FX4;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 1;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 2;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 3;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 4;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 5;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 6;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 7;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 8;SOVIEPE-FX8;
BASE CACAVELLI ;SOVIEPE-FX8;ATSOU;SOVIEPE;SOVIEPE 9;SOVIEPE-FX8;
;;;SOTOUBOUA;SOTOUBOUA 1;SOTOUBOUA-FX4;
;;;SOTOUBOUA;SOTOUBOUA 2;SOTOUBOUA-FX4;
;;;SOKODE;SOKODE 10;SOKODE_KOMA-FX4;
;;;SOKODE;SOKODE 11;SOKODE_KOMA-FX4;
;;;SOKODE;SOKODE 4;SOKODE_KOMA-FX4;
;;;SOKODE;SOKODE 9;SOKODE_KOMA-FX4;
;;;SOKODE;SOKODE 18;SOKODE_KOMA-FX4_2;
;;;SOKODE;SOKODE 19;SOKODE_KOMA-FX4_2;
;;;SOKODE;SOKODE 16;SOKODE_POSTE-FX4;
;;;SOKODE;SOKODE 17;SOKODE_POSTE-FX4;
;;;SOKODE;SOKODE 20;SOKODE_POSTE-FX4;
;;;SOKODE;SOKODE 01;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 12;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 13;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 14;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 15;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 2;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 3;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 5;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 6;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 7;SOKODE_POSTE-FX8;
;;;SOKODE;SOKODE 8;SOKODE_POSTE-FX8;
BASE RP;HOUNTIGOME;ABAKTA;SITO AEROPORT;SITO AEROPORT 0;HOUNTIGOME;Une partie sur OLT HOUNTIGOME-7330
ADIDOGOME;SEGBE-FX4;DOSSAVI;SEGBE;SEGBE 1;SEGBE-FX4;
ADIDOGOME;SEGBE-FX4;DOSSAVI;SEGBE;SEGBE 2;SEGBE-FX4;
ADIDOGOME;SEGBE-FX4;DOSSAVI;SEGBE;SEGBE 3;SEGBE-FX4;
ADIDOGOME;SEGBE-FX4;DOSSAVI;SEGBE;SEGBE 4;SEGBE-FX4;
ADIDOGOME;SEGBE-FX4;DOSSAVI;SEGBE;SEGBE 5;SEGBE-FX4;
ADIDOGOME;SEGBE-FX4;DOSSAVI;SEGBE;SEGBE 6;SEGBE-FX4;
ADIDOGOME;;DOSSAVI;SEGBE;ONE-FIELD;;Voir One Field
BASE RP;HOUNTIGOME-7330;ABAKTA;SAINTJO;SAINTJO 4;HOUNTIGOME-7330;
BASE RP;HOUNTIGOME-7330;ABAKTA;SAINTJO;SAINTJO 5;HOUNTIGOME-7330;
BASE RP;HOUNTIGOME-7330;ABAKTA;SAINTJO;SAINTJO 6;HOUNTIGOME-7330;
BASE RP;NUKAFU-FX4;ABAKTA;SAINTJO;SAINTJO 1;NUKAFU-FX4;Une partie sur OLT NUKAFU   basculer
BASE RP;NUKAFU-FX4;ABAKTA;SAINTJO;SAINTJO 2;NUKAFU-FX4;Une partie sur OLT NUKAFU   basculer
BASE RP;NUKAFU-FX4;ABAKTA;SAINTJO;SAINTJO 3;NUKAFU-FX4;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 1;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 10;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 11;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 12;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 2;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 3;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 4;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 5;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 6;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 7;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 8;SAGBADO1-FX8;
ADIDOGOME;SAGBADO1-FX8;DOSSAVI;SAGBADO;SAGBADO 9;SAGBADO1-FX8;
BASE RP;HEDZRANAWE1;ABAKTA;RESIDENCE DU BENIN;RESIDENCE DU BENIN 0;HEDZRANAWE1;
;;;PYA;PYA 1;PYA-FX4;
;;;PYA;PYA 2;PYA-FX4;
BASE PORT;PORT;AMAH;PORT;PORT 0;PORT;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 10;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 3;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 4;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 5;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 6;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 7;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 8;PORT-FX8;
BASE PORT;PORT-FX8;AMAH;PORT;PORT 9;PORT-FX8;
;;;PORT;ONE-FIELD;;Voir One Field
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 1;DJIFAKPOTA-FX8;
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 2;DJIFAKPOTA-FX8;
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 3;DJIFAKPOTA-FX8;
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 4;DJIFAKPOTA-FX8;
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 5;DJIFAKPOTA-FX8;
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 6;DJIFAKPOTA-FX8;
BASE PORT;DJIFAKPOTA-FX8;AMAH;OTI;OTI 7;DJIFAKPOTA-FX8;
;;;NOTSE;NOTSE 1;NOTSE_GAPEDJI-FX8;
;;;NOTSE;NOTSE 2;NOTSE_GAPEDJI-FX8;
;;;NOTSE;NOTSE 3;NOTSE_GAPEDJI-FX8;
;;;NOTSE;NOTSE 4;NOTSE_GAPEDJI-FX8;
;;;NOTSE;NOTSE 5;NOTSE_GAPEDJI-FX8;
;;;NOTSE;NOTSE 6;NOTSE_GAPEDJI-FX8;
;;;NIAMTOUGOU;NIAMTOUGOU 1;NIAMTOUGOU-FX4;
;;;NIAMTOUGOU;NIAMTOUGOU 2;NIAMTOUGOU-FX4;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 1;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 10;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 11;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 12;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 13;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 14;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 15;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 16;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 2;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 3;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 4;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 5;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 6;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 7;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 8;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU1-FX16;ATSOU;MINA;MINA 9;MINAMADOU1-FX16;
BASE CACAVELLI ;MINAMADOU-FX8;ATSOU;MINA;MINA 0;MINAMADOU-FX8;
;;;MANGO;MANGO 1;MANGO-FX4;
;;;MANGO;MANGO 2;MANGO-FX4;
;;;MANGO;MANGO 3;MANGO-FX4;
;;;MANGO;MANGO 4;MANGO-FX4;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 10;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 11;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 12;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 13;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 14;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 15;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 7;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 8;APESSITO-FX8;
BASE LEGBASSITO 1;APESSITO-FX8;HOUNAKEY;MADJI;MADJI 9;APESSITO-FX8;
BASE LEGBASSITO 1;MADJIKPETO-FX8;HOUNAKEY;MADJI;MADJI 1;MADJIKPETO-FX8;
BASE LEGBASSITO 1;MADJIKPETO-FX8;HOUNAKEY;MADJI;MADJI 2;MADJIKPETO-FX8;
BASE LEGBASSITO 1;MADJIKPETO-FX8;HOUNAKEY;MADJI;MADJI 3;MADJIKPETO-FX8;
BASE LEGBASSITO 1;MADJIKPETO-FX8;HOUNAKEY;MADJI;MADJI 4;MADJIKPETO-FX8;
BASE LEGBASSITO 1;MADJIKPETO-FX8;HOUNAKEY;MADJI;MADJI 5;MADJIKPETO-FX8;
BASE LEGBASSITO 1;MADJIKPETO-FX8;HOUNAKEY;MADJI;MADJI 6;MADJIKPETO-FX8;
BASE LEGBASSITO 1;;HOUNAKEY;MADJI;ONE-FIELD;;Voir One Field
BASE RP;LOME_RP-FX16;ABAKTA;LOME CENTRE;LOME CENTRE 1;LOME_RP-FX16;
BASE RP;LOME_RP-FX16;ABAKTA;LOME CENTRE;LOME CENTRE 10;LOME_RP-FX16;
BASE RP;LOME_RP-FX16;ABAKTA;LOME CENTRE;LOME CENTRE 11;LOME_RP-FX16;
